nsmoid,weight,hispan,race,mortgage_reason,sale_proceeds,savings_retire_etc,govt_np_asst,second_lien_heloc,gift,seller_cont,total_hh_inc,race_eth
308616,621.835784753363,2,1,2,-2,0,0,0,0,-2,6,White
308617,1028.74925806451,2,1,1,2,1,0,0,0,2,5,White
308618,878.747368421052,2,1,1,1,0,0,0,0,2,6,White
308619,1484.66034246575,2,1,1,2,1,0,0,0,2,6,White
308620,1028.74925806451,2,1,1,2,1,0,0,0,2,3,White
308621,2677.61710144927,2,1,2,-2,0,0,0,0,-2,3,White
308622,569.188636363636,1,2,2,-2,0,0,0,0,-2,2,Hispanic
308623,1170.25095588235,2,1,2,-2,0,0,0,0,-2,5,White
308624,1203.03247058823,2,1,2,-2,0,0,0,0,-2,4,White
308625,2377.96363636363,2,1,2,-2,0,0,0,0,-2,5,White
308626,1786.20923913043,2,1,2,-2,0,0,0,0,-2,2,White
308627,1751.02203883495,2,1,1,2,1,0,0,0,2,3,White
308628,1583.49107913669,2,1,2,-2,0,0,0,0,-2,5,White
308629,1029.46553398058,1,1,1,1,0,0,0,0,2,4,Hispanic
308630,648.307522123893,2,1,1,2,1,0,0,0,2,2,White
